Nome;CPF/CNPJ;Endereço;Email;Telefone
A F MOTA SERVICOS;04.162.264/0001-00;R DO IMPERADOR 222   0   GINASIO - 48700-000   BA   Serrinha;;(75) 3261-2219
AILTON MATOS;04.660.421/0001-08;Rua Morena Bela   1   Centro - 48700-000   BA   Serrinha;;
AMAZONAS SPORT CAR LTDA;00.089.602/0004-00;RUA LEOBINO BARCELAR   4   VAQUEJADA - 48700-000   BA   Serrinha;;
A OLIVEIRA SERVICOS LTDA-ME;07.100.956/0001-04;AV ACM   703   CENTRO - 48700-000   BA   Serrinha;;
AUTO PECAS TEND TUDO;;A.LOMANTO JUNIOR   270   CSU - 48700-000   BA   Serrinha;;
AVAN PECAS E SERVICOS EIRELI(C350765);26.918.591/0001-74;AVENIDA CARLOS DE FREITAS MOTA 216   0   GINASIO - 48700-000   BA   Serrinha;;(75) 3261-2219
CANELINHA AUTO PEÇAS;;AV. LOMANTO JUNIOR   294   CENTRO - 48700-000   BA   Serrinha;-;
CASA DAS MANGUEIRAS SHA LTDA;56.340.740/0001-21;AV LOMANTO JUNIOR JARDIM CAROLINA   0   GINASIO - 48700-000   BA   Serrinha;-;(75) 99904-0514
CASA MARQUES COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA;14.848.504/0001-70;AVENIDA LOMANTO JUNIOR   990   MARGEM DA BR116 - 48700-000   BA   Serrinha;-;
CASA SIDEL MAQUINAS E PNEUS EIRELI;34.188.227/0001-24;AV. LOMANTO JUNIOR   0   CENTRO - 48700-000   BA   Serrinha;;
CENCOSUD BRASIL COMERCIAL LTDA L315;39.346.861/0446-14;R LAURO MOTA   0   GINASIO - 48700-000   BA   Serrinha;;
CENTERCAR NEW AUTO PECAS E SERVICOS ;44.412.444/0001-00;ROD BA 409   31   RODOVIÁRIA  - 48700-000   BA   Serrinha;;
CESAR SOM PECAS E ACESSORIO;;RUA:EDMUNDO VELOSO COSTA   100   CSU - 48700-000   BA   Serrinha;;(00) 3261-1452
CHAVEIRO MOURA;12.902.989/0001-08;PRACA LUIZ NOGUEIRA   100   CENTRO - 48700-000   BA   Serrinha;;(75) 99975-7648
COCKPIT PECAS E ACESSORIOS PARA VEICULOS LTDA;46.715.233/0001-71;RUA EDMUNDO VELOSO   171   CENTRO - 48700-000   BA   Serrinha;-;
COMERCIAL DE PECAS USADAS OBA-BA;;AV:LOMANTO JUNIOR   0   VAQUEJADA - 48700-000   BA   Serrinha;;
D E M AUTO PECAS LTDA;40.585.929/0001-44;AV:LOMANTO JUNIOR   264    - 48700-000   BA   Serrinha;;
DIJAL COMERCIO DE AUTO PECAS LTDA;32.653.073/0001-79;RUA DO IMPERADOR   299   CENTRO - 48700-000   BA   Serrinha;;(07) 53261-2045
ELETRO AR JP AUTO PECAS ELETRO AR;;AVENIDA LOMENTO JUNIOR   485   CENTRO - 48700-000   BA   Serrinha;;(00) 3261-0406
ELICLECIO COPIADORA LTDA;09.151.071/0001-60;RUA:PONCIANO OLIVEIRA   32   CENTRO - 48700-000   BA   Serrinha;;
EQUIPADORA E AUTO ELETRICA SAO JORGE;13.534.443/0001-04;AVENIDA LOMANTO JUNIOR   300   CSU - 48700-000   BA   Serrinha;;
FARMACIA VIDEIRA LTDA;51.591.821/0001-80;AV LUIZ VIANA FILHO   900   CENTRO - 48700-000   BA   Serrinha;-;
GESSIVALDO DA SILVA LOPES 20253249520;33.223.370/0001-47;RUA REGINALDO RIBEIRO   810   CENTRO - 48700-000   BA   Serrinha;-;(75) 99153-2843
GIKA COMERCIO DE PNEU;11.317.734/0001-15;AV.LOMANTO JUNIOR   0   CSU - 48700-000   BA   Serrinha;;
GOMMA PNEUS;49.746.192/0003-30;AV LOMANTO JUNIOR MARGENS DA BR 116 S/N   SN   VAQUEJADA-1 - 48700-000   BA   Serrinha;-;
GW AUTO PECAS;26.059.597/0001-33;AVENIDA MANOEL NOVAIS   1636   RODAGEM - 48700-000   BA   Serrinha;;(00) 3261-2542
ISSAC DIONISIO DE OLIVEIRA FILHO-ME;63.208.219/0001-09;AV:MANEL NOVAIS   0   CENTRO - 48700-000   BA   Serrinha;;(75) 3261-6483
